month,state,handgun,long_gun,total,population
2020-03,Alabama,34897,17850,52747,4779736
2020-03,Arizona,46377,19346,65723,6392017
2020-03,Arkansas,15304,8968,24272,2915918
2020-03,California,81543,48616,130159,37253956
2020-03,Colorado,43322,22756,66078,5029196
2020-03,Connecticut,9196,3290,12486,3574097
2020-03,Delaware,4936,2323,7259,897934
2020-03,District of Columbia,148,5,153,601723
2020-03,Florida,117900,38365,156265,18801310
2020-03,Georgia,44107,16807,60914,9687653
2020-03,Idaho,11611,8193,19804,1567582
2020-03,Illinois,44112,17127,61239,12830632
2020-03,Indiana,45695,22724,68419,6483802
2020-03,Iowa,378,5778,6156,3046355
2020-03,Kansas,16715,8964,25679,2853118
2020-03,Kentucky,28268,15315,43583,4339367
2020-03,Louisiana,25038,10278,35316,4533372
2020-03,Maine,7794,5310,13104,1328361
2020-03,Maryland,6534,16181,22715,5773552
2020-03,Massachusetts,9765,5100,14865,6547629
2020-03,Michigan,50368,28985,79353,9883640
2020-03,Minnesota,18708,17222,35930,5303925
2020-03,Mississippi,18567,8714,27281,2967297
2020-03,Missouri,41905,22607,64512,5988927
2020-03,Montana,6755,5895,12650,989415
2020-03,Nebraska,217,3623,3840,1826341
2020-03,Nevada,13530,4712,18242,2700551
2020-03,New Hampshire,14278,6190,20468,1316470
2020-03,New Jersey,4531,6000,10531,8791894
2020-03,New Mexico,13558,7181,20739,2059179
2020-03,New York,9257,39906,49163,19378102
2020-03,North Carolina,2488,31949,34437,9535483
2020-03,North Dakota,4122,3717,7839,672591
2020-03,Ohio,63707,28817,92524,11536504
2020-03,Oklahoma,25804,13873,39677,3751351
2020-03,Oregon,33659,18838,52497,3831074
2020-03,Pennsylvania,81319,22031,103350,12702379
2020-03,Rhode Island,2533,2303,4836,1052567
2020-03,South Carolina,25288,10790,36078,4625364
2020-03,South Dakota,5536,4230,9766,814180
2020-03,Tennessee,49546,25157,74703,6346105
2020-03,Texas,147714,61827,209541,25145561
2020-03,Utah,13908,8665,22573,2763885
2020-03,Vermont,3853,2636,6489,625741
2020-03,Virginia,51801,24208,76009,8001024
2020-03,Washington,32624,20165,52789,6724540
2020-03,West Virginia,11570,8599,20169,1852994
2020-03,Wisconsin,42224,18582,60806,5686986
2020-03,Wyoming,4155,3349,7504,563626
2020-02,Alabama,24590,12531,37121,4779736
2020-02,Arizona,16839,8006,24845,6392017
2020-02,Arkansas,8112,5453,13565,2915918
2020-02,California,35570,22645,58215,37253956
2020-02,Colorado,19931,11285,31216,5029196
2020-02,Connecticut,5341,1961,7302,3574097
2020-02,Delaware,2103,1386,3489,897934
2020-02,District of Columbia,97,4,101,601723
2020-02,Florida,59653,20306,79959,18801310
2020-02,Georgia,19173,8207,27380,9687653
2020-02,Idaho,5286,4371,9657,1567582
2020-02,Illinois,22743,9761,32504,12830632
2020-02,Indiana,25949,12739,38688,6483802
2020-02,Iowa,220,2419,2639,3046355
2020-02,Kansas,7905,5610,13515,2853118
2020-02,Kentucky,15294,8763,24057,4339367
2020-02,Louisiana,12303,6564,18867,4533372
2020-02,Maine,3920,2871,6791,1328361
2020-02,Maryland,4472,5622,10094,5773552
2020-02,Massachusetts,5745,2711,8456,6547629
2020-02,Michigan,14668,9092,23760,9883640
2020-02,Minnesota,11142,9395,20537,5303925
2020-02,Mississippi,11638,6114,17752,2967297
2020-02,Missouri,23420,14384,37804,5988927
2020-02,Montana,3343,3196,6539,989415
2020-02,Nebraska,177,1764,1941,1826341
2020-02,Nevada,6215,2706,8921,2700551
2020-02,New Hampshire,6031,2740,8771,1316470
2020-02,New Jersey,4603,3580,8183,8791894
2020-02,New Mexico,7615,4152,11767,2059179
2020-02,New York,9861,13360,23221,19378102
2020-02,North Carolina,1984,13177,15161,9535483
2020-02,North Dakota,2122,2471,4593,672591
2020-02,Ohio,29360,14843,44203,11536504
2020-02,Oklahoma,16480,8203,24683,3751351
2020-02,Oregon,16784,10360,27144,3831074
2020-02,Pennsylvania,53384,15473,68857,12702379
2020-02,Rhode Island,1307,723,2030,1052567
2020-02,South Carolina,14700,6120,20820,4625364
2020-02,South Dakota,3359,3195,6554,814180
2020-02,Tennessee,32364,15464,47828,6346105
2020-02,Texas,60512,29259,89771,25145561
2020-02,Utah,4153,3460,7613,2763885
2020-02,Vermont,1870,1514,3384,625741
2020-02,Virginia,36608,20509,57117,8001024
2020-02,Washington,18044,9505,27549,6724540
2020-02,West Virginia,8200,6163,14363,1852994
2020-02,Wisconsin,17509,11891,29400,5686986
2020-02,Wyoming,2322,1975,4297,563626
2020-01,Alabama,22478,12598,35076,4779736
2020-01,Arizona,15126,7087,22213,6392017
2020-01,Arkansas,6621,5524,12145,2915918
